Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
007-270-413-084-586,Economics of electric cars,2001-01-01,2001,book chapter,"The Electric Car: development and future of battery, hybrid and fuel-cell cars",,Institution of Engineering and Technology,,Michael H. Westbrook,"If the electric vehicle and particularly the electric car is ever to compete effectively with conventional internal combustion-engined vehicles, the price at which it can be profitably built and sold to the public must be similar to that for a conventional vehicle having a similar feature level. A small premium may be acceptable for the electric vehicle providing it offers a significant reduction in emissions and in the case of fuel-cell and hybrid electric vehicles, a significant reduction in fossil-fuel consumption.",,,174,180,Battery electric vehicle; Green vehicle; Miles per gallon gasoline equivalent; Engineering; Consumption (economics); Automotive engineering; Monroney sticker; Transport engineering; Electric vehicle; Electric cars; Automotive engine,,,,,https://digital-library.theiet.org/content/books/10.1049/pbpo038e_ch12,http://dx.doi.org/10.1049/pbpo038e_ch12,,10.1049/pbpo038e_ch12,2287415412,,0,,0,false,,
007-277-681-682-138,Aggregator pricing method based on two-stage charging station allocation for electric vehicles,2022-12-10,2022,preprint,,,Wiley,,Yonggang LI; Hui Lin; Yichen Zhou; Haoyang Zheng; Zhaoyuan Bian; Ziyi Yue; Yang Yang; Xinghao Zhen,"<jats:p id=""p1"">With the proposal of the carbon peaking and carbon neutrality goals, the; number of electric vehicles is increasing day by day. Besides, the; insufficient number of charging piles leads to the increase of the; queuing time of electric vehicles, the pricing of aggregators and other; issues becoming increasingly prominent. To solve the above problems, the; aggregator pricing method of two-stage charging station allocation for; electric vehicles is proposed. First, the contract signing mode between; aggregators and electric vehicles is divided into three categories:; complete dispatching, rolling reward and punishment mechanism; dispatching, and free dispatching. Considering the impact of external; factors on the energy consumption of electric vehicles, a road network; model is established. Then, the improved A-star algorithm is used to; solve the shortest path, in which the time factor is introduced into the; evaluation function of A-star algorithm. At the same time, the; evaluation function is improved according to traffic energy consumption,; uninterrupted driving time, traffic light waiting time and other; factors. The aggregator obtains the attraction of the charging station; to the electric vehicle based on the charging and discharging demand of; the electric vehicle and the Coulomb’s law, and then establishes the; grid aggregator electric vehicle supply chain, and conducts reasonable; pricing and charging station allocation in two stages. Finally, an; example shows that this scheme can significantly improve the peak; shaving efficiency, improve the profits of aggregators, and reduce the; queuing time and traffic energy consumption of electric vehicles in; terms of the distribution of electric vehicle charging stations and the; pricing of aggregators.</jats:p>",,,,,News aggregator; Electric vehicle; Charging station; Queueing theory; Computer science; Automotive engineering; Engineering; Computer network; Power (physics); Operating system; Quantum mechanics; Physics,,,,,https://yvm2020.authorea.com/doi/pdf/10.22541/au.167068495.53335885 https://doi.org/10.22541/au.167068495.53335885/v1,http://dx.doi.org/10.22541/au.167068495.53335885/v1,,10.22541/au.167068495.53335885/v1,,,0,,0,true,,gold
007-313-166-035-994,2006 Toyota Highlander-6395 Hyrid Electric Vehicle Battery Test Results,2010-01-01,2010,report,,,Office of Scientific and Technical Information (OSTI),,Tyler Gray; Chester Motloch; James Francfort,"The U.S. Department of Energy's Advanced Vehicle Testing Activity conducts several different types of tests on hybrid electric vehicles, including testing hybrid electric vehicles batteries when both the vehicles and batteries are new, and at the conclusion of 160,000 miles of accelerated testing. This report documents the battery testing performed and battery testing results for the 2007 Toyota Highlander hybrid electric vehicle (Vin Number JTEDW21A160006395). Testing was performed by the Electric Transportation Engineering Corporation. The Advanced Vehicle Testing Activity is part of the U.S. Department of Energy's Vehicle Technologies Program. The Idaho National Laboratory and the Electric Transportation Engineering Corporation conduct Advanced Vehicle Testing Activity for the U.S. Department of Energy.",,,,,Battery electric vehicle; Engineering; Automotive engineering; Electric vehicle; Test (assessment); Electric-vehicle battery; Idaho National Laboratory; Hybrid vehicle; Solar vehicle; Battery (electricity),,,,,https://www.osti.gov/servlets/purl/974792,http://dx.doi.org/10.2172/974792,,10.2172/974792,2092004877,,0,,0,true,,green
007-369-543-423-056,Evaluation of electric vehicle charging facilities by using the MCDM method,2023-03-01,2023,journal article,Journal of Physics: Conference Series,17426588; 17426596,IOP Publishing,United Kingdom,Yanbin Li; Junguo Jia; Shangjie Wu; Sen Guo,"<jats:title>Abstract</jats:title>;                <jats:p>As one of the candidate carriers of future transportation, electric vehicles are widely considered an important choice to solve traffic derivative problems and environmental issues. In this paper, the evaluation of electric vehicle charging facilities is studied by employing the MCDM method. The fuzzy BWM was utilized to weight the criteria, and the MARCOS method was employed to evaluate different electric vehicle charging facilities. Eight criteria for electric vehicle charging facilities were determined, and five electric vehicle charging facilities were evaluated by using the hybrid MCDM method. The empirical results indicate that the comprehensive performance of electric vehicle charging facility EVCF#5 is best, followed by EES#3, EES#2, and EES#1, while the electric vehicle charging facility EES#4 has the worst comprehensive performance. This research can provide references for the sustainable development of electric vehicle charging facilities.</jats:p>",2450,1,12016,012016,Electric vehicle; Multiple-criteria decision analysis; Automotive engineering; Computer science; Fuzzy logic; Transport engineering; Operations research; Engineering; Artificial intelligence; Physics; Power (physics); Quantum mechanics,,,,,https://iopscience.iop.org/article/10.1088/1742-6596/2450/1/012016/pdf http://dx.doi.org/10.1088/1742-6596/2450/1/012016,http://dx.doi.org/10.1088/1742-6596/2450/1/012016,,10.1088/1742-6596/2450/1/012016,,,0,011-385-381-016-937,2,true,cc-by,gold
007-492-669-974-99X,Multi-period planning of locations and capacities of public charging stations,,2023,journal article,Journal of Energy Storage,2352152x; 23521538,Elsevier BV,Netherlands,Jin Zhang; Zhenpo Wang; Eric J. Miller; Dingsong Cui; Peng Liu; Zhaosheng Zhang; Zhenyu Sun,,72,,108565,108565,Charging station; Beijing; Randomness; Queueing theory; Electric vehicle; Computer science; Operations research; Simulation; Environmental science; Engineering; Geography; Mathematics; Statistics; Power (physics); China; Physics; Computer network; Archaeology; Quantum mechanics,,,,National Key Research and Development Program of China; National Natural Science Foundation of China; National Natural Science Foundation of China; China Scholarship Council,,http://dx.doi.org/10.1016/j.est.2023.108565,,10.1016/j.est.2023.108565,,,0,000-841-909-265-104; 002-269-752-193-20X; 004-103-431-679-527; 005-318-093-782-111; 006-602-348-845-458; 006-862-017-982-491; 006-894-404-015-828; 010-638-176-164-46X; 012-186-977-849-598; 012-632-201-692-113; 025-793-804-880-518; 028-364-314-756-067; 028-679-272-388-951; 032-166-356-677-903; 033-030-277-754-775; 037-806-667-763-58X; 043-503-888-583-311; 047-532-683-742-241; 050-677-953-438-422; 051-661-323-232-956; 053-290-418-689-097; 053-958-738-820-944; 056-481-920-602-71X; 059-258-787-602-434; 059-376-079-022-006; 060-558-238-671-63X; 065-913-732-234-975; 067-156-895-945-533; 073-843-485-470-661; 076-137-341-136-454; 084-951-929-313-016; 091-245-153-481-009; 093-803-652-526-204; 099-110-535-484-742; 136-171-391-193-864; 138-942-646-421-431; 149-138-692-256-731,22,false,,
007-507-576-020-336,Electric Vehicle Batteries,2025-03-28,2025,book,,,Wiley,,,"Understand the batteries that will power the sustainable transition from innovators who are making it happen The transition from fossil-fuel based energy sources to electricity is one of the most crucial technological milestones in the world today. The surge of electric vehicle production will require hundreds of millions of electric vehicle batteries, the creation of which have environmental impacts of their own. There is an urgent need for resources which analyze these impacts, their role in the life cycle of a battery, and the broader challenges and opportunities of this electric transition. Electric Vehicle Batteries: From Sourcing to Second Life and Recycling meets this need with a thorough, accessible overview of batteries: how they are made, used, and re-used. Balancing theory and practice, and with coverage of all relevant vehicle types, it’s a crucial resource for engineers, scientists, students, and instructors. Created by some of the leading experts in the mobility industry, Electric Vehicle Batteries is a decisive contribution to the fight for a sustainable future. In Electric Vehicle Batteries: From Sourcing to Second Life and Recycling, readers will find: A programmatic structure for creating new engineering practices and teams that support them A safety-first approach to handling volatile materials An authorial and editorial team with extensive experience in both engineering and management Electric Vehicle Batteries: From Sourcing to Second Life and Recycling is ideal for reskilling engineers, undergraduate students, and other new entrants into the rapidly expanding field of electric vehicle production.",,,,,Electric vehicle; Automotive engineering; Engineering; Physics; Power (physics); Quantum mechanics,,,,,,http://dx.doi.org/10.1002/9781394262144,,10.1002/9781394262144,,,0,,1,false,,
007-542-481-665-952,Hybrid Electric Vehicles - Hybrid Electric Vehicles,,2016,book,SpringerBriefs in Electrical and Computer Engineering,21918112; 21918120,Springer London,,Simona Onori; Lorenzo Serrao; Giorgio Rizzoni,,,,,,Engineering; Efficient energy use; Energy engineering; Energy technology; Mechanical engineering,,,,,https://link.springer.com/10.1007/978-1-4471-6781-5,http://dx.doi.org/10.1007/978-1-4471-6781-5,,10.1007/978-1-4471-6781-5,2501655773,,0,,378,false,,
007-578-024-536-922,Dynamic Coordinated Shifting Control of Automated Mechanical Transmissions without a Clutch in a Plug-In Hybrid Electric Vehicle,2012-08-16,2012,journal article,Energies,19961073,MDPI AG,Switzerland,Hongwen He; Zhentong Liu; Liming Zhu; Xinlei Liu,"On the basis of the shifting process of automated mechanical transmissions (AMTs) for traditional hybrid electric vehicles (HEVs), and by combining the features of electric machines with fast response speed, the dynamic model of the hybrid electric AMT vehicle powertrain is built up, the dynamic characteristics of each phase of shifting process are analyzed, and a control strategy in which torque and speed of the engine and electric machine are coordinatively controlled to achieve AMT shifting control for a plug-in hybrid electric vehicle (PHEV) without clutch is proposed. In the shifting process, the engine and electric machine are well controlled, and the shift jerk and power interruption and restoration time are reduced. Simulation and real car test results show that the proposed control strategy can more efficiently improve the shift quality for PHEVs equipped with AMTs.",5,8,3094,3109,Engineering; Control engineering; Torque; Power (physics); Automotive engineering; Jerk; Electric vehicle; Electric machine; Clutch; Powertrain; Process (computing),plug-in hybrid electric vehicle; AMT; shifting without clutch; dynamic coordinated control,,,,https://www.mdpi.com/1996-1073/5/8/3094/pdf?y=1 https://www.mdpi.com/1996-1073/5/8/3094/pdf https://www.mdpi.com/1996-1073/5/8/3094 https://econpapers.repec.org/article/gamjeners/v_3a5_3ay_3a2012_3ai_3a8_3ap_3a3094-3109_3ad_3a19512.htm https://ideas.repec.org/a/gam/jeners/v5y2012i8p3094-3109d19512.html,http://dx.doi.org/10.3390/en5083094,,10.3390/en5083094,2049013559,,0,005-005-396-235-492; 008-926-177-526-965; 025-563-677-174-093; 026-690-495-118-443; 029-865-739-103-362; 042-146-773-993-08X; 049-216-717-839-497; 066-294-758-518-745; 091-383-752-330-523; 104-477-271-070-692; 124-529-353-990-385; 135-008-822-590-356; 136-281-977-998-990; 163-505-064-880-997,44,true,cc-by,gold
007-794-926-307-21X,City of Las Vegas Plug-in Hybrid Electric Vehicle Demonstration Program,2013-12-31,2013,report,,,Office of Scientific and Technical Information (OSTI),,,"The City of Las Vegas was awarded Department of Energy (DOE) project funding in 2009, for the City of Las Vegas Plug-in Hybrid Electric Vehicle Demonstration Program. This project allowed the City of Las Vegas to purchase electric and plug-in hybrid electric vehicles and associated electric vehicle charging infrastructure. The City anticipated the electric vehicles having lower overall operating costs and emissions similar to traditional and hybrid vehicles.",,,,,Incentive; Las vegas; Business; Incentive program; Market penetration; Alternative fuel vehicle; Payment; Environmental economics; Public economics; Transport engineering; Marketing; Finance; Economics; Engineering; Alternative fuels; Political science; Microeconomics; Law; Waste management; Tourism; Diesel fuel,,,,,https://www.osti.gov/servlets/purl/1132767 https://www.osti.gov/biblio/1132767,http://dx.doi.org/10.2172/1132767,,10.2172/1132767,,,0,,2,true,,green
008-001-115-090-225,An Enabling Decision-Making Scheme by Considering Trajectory Prediction and Motion Uncertainty,,2024,journal article,IEEE Transactions on Intelligent Vehicles,23798904; 23798858,Institute of Electrical and Electronics Engineers (IEEE),,Mingqiang Wang; Lei Zhang; Zhiqiang Zhang; Zhengpo Wang,"Decision-making plays a crucial role in enabling automated driving and its performance is highly dependent on accurate motion prediction. Most existing motion prediction methods employ black-box neural network approaches, which may introduce high uncertainty and thus compromise driving safety. This study proposes a decision-making framework that takes motion prediction into account while considering predicted motion uncertainty. First, a multi-modal trajectory prediction method is introduced by combining the motion trend of the ego vehicle to reduce trajectory uncertainty. Then a two-dimensional dynamic risk assessment approach based on the Gaussian distribution is developed to quantify potential collision risk by analyzing occupancy relationship in space-time. Additionally, elementary motion patterns of automated driving in dynamic traffic environments are analyzed, and a decision-making method integrating finite state machines and the Markov decision process is established. Taking into account future motion uncertainty, it can dynamically adjust the ego vehicle's driving states in advance to ensuring driving safety. Finally, the effectiveness of the proposed decision-making framework is verified under different driving scenarios extracted from the NGSIM dataset, demonstrating satisfying results in avoiding potential driving risks.",9,5,4946,4961,Trajectory; Computer science; Motion (physics); Collision; Artificial intelligence; Machine learning; Astronomy; Physics; Computer security,,,,Beijing Municipal Science and Technology Commission; Beijing Nova Program; National Natural Science Foundation of China,,http://dx.doi.org/10.1109/tiv.2024.3350352,,10.1109/tiv.2024.3350352,,,0,002-318-412-652-244; 003-318-030-912-051; 007-049-081-458-832; 009-699-455-215-235; 014-391-244-180-458; 019-736-535-221-101; 022-422-352-396-829; 026-375-104-538-126; 026-948-946-464-421; 028-932-101-407-640; 030-419-504-165-61X; 032-442-735-042-818; 035-316-974-325-438; 040-342-946-830-146; 041-803-632-919-055; 043-026-322-859-631; 047-053-483-542-992; 047-087-789-142-583; 051-999-217-678-899; 057-925-773-201-991; 058-616-975-021-427; 058-949-031-678-128; 066-093-950-617-291; 066-662-583-256-726; 072-090-502-464-360; 077-425-738-739-029; 082-642-554-016-135; 097-513-777-410-133; 103-245-195-107-588; 104-589-412-179-20X; 105-217-344-392-103; 107-624-466-578-871; 108-231-400-596-929; 108-835-227-438-675; 111-256-378-591-097; 113-132-179-364-703; 116-505-867-237-52X; 131-609-155-485-488; 136-578-668-611-315; 147-913-465-389-296; 150-444-153-276-208; 157-192-744-969-774; 166-870-891-520-746; 168-720-607-009-019; 175-984-780-296-528; 182-034-605-859-121; 189-061-071-258-951; 197-965-637-942-288,11,false,,
008-084-516-249-168,From Vehicles To Grid To Electric Vehicles To Green Grid: Many A Little Makes A Miracle,2019-07-24,2019,book,,,,,Fuhuo Li; Jianjie Zhang; Shigeru Kanemitsu,,,,,,Electrical engineering; Grid; Miracle; Computer science,,,,,https://www.amazon.com/Vehicles-Grid-Electric-Green-Miracle-ebook/dp/B07W5CRSKK,https://www.amazon.com/Vehicles-Grid-Electric-Green-Miracle-ebook/dp/B07W5CRSKK,,,2946399560,,0,,0,false,,
008-207-933-592-474,Plug-In Hybrid and Electric Vehicles: Recent Developments and Prospects,2010-05-01,2010,,,,,,Tom Turrentine,"Plug-in, electric-drive vehicles (PEVs) offer ways to diversity fuels for personal vehicles, to reduce tailpipe criteria pollutants, and—if the source of electricity has followed a low-carbon pathway—to reduce greenhouse gas emissions. The three primary PEV technology categories are electric vehicles, plug-in hybrid electric vehicles, and extended-range electric vehicles. In this article each of these vehicle categories is defined, the three levels of battery charging available for PEV designs are explained, and challenges and prospects are discussed.",,268,,,Battery electric vehicle; Green vehicle; Miles per gallon gasoline equivalent; Engineering; Automotive engineering; Criteria air contaminants; Electricity; Greenhouse gas; Battery (electricity); Automotive engine,,,,,https://trid.trb.org/view/924573,https://trid.trb.org/view/924573,,,568440150,,0,,0,false,,
008-717-618-255-902,THE STUDY ABOUT ELECTRIC VEHICLES IN LITHUANIA,2021-05-28,2021,journal article,SOCIETY. INTEGRATION. EDUCATION. Proceedings of the International Scientific Conference,22560629; 16915887,Riga Technical University,,Jurgita Ginavičienė; Indrė Sprogytė,"Electric cars are very important for the circular economy. If we are using the electric vehicle we can reduce emission savings and protect the environment . Electric vehicles can contribute to energy efficiency, reducing carbon emissions unfortunately, despite everything, the development of the electric vehicle market in Lithuania remains relatively slow. Electric vehicles are more expensive than traditional vehicles, there is a lack of the necessary infrastructure, and consumers do not have enough information on the benefits of green cars. The main purpose of this article is to research electric vehicles market in Lithuania. The methods of research include scientific literature analysis, statistics data comparative analysis. Electrical vehicle market in Lithuania is growing. From 2017 until 2020 M 1 class electric cars was purchased 35 %. At the same period the market of new electric car increased 50 %, used electric vehicle increased only 27 %.",6,,255,263,Environmental economics; Business; Efficient energy use; Electric vehicle; Circular economy; Electric cars; Greenhouse gas,consumer; electric vehicles; promoting measures,,,,http://journals.rta.lv/index.php/SIE/article/download/6323/5246 http://journals.ru.lv/index.php/SIE/article/view/6323 http://journals.rta.lv/index.php/SIE/article/view/6323 http://journals.ru.lv/index.php/SIE/article/download/6323/5246,http://dx.doi.org/10.17770/sie2021vol6.6323,,10.17770/sie2021vol6.6323,3164653561,,0,,2,true,,bronze
008-782-802-331-443,Does Driving Range of Electric Vehicles Influence Electric Vehicle Adoption,2017-10-01,2017,journal article,Sustainability,20711050,MDPI AG,Switzerland,Seiho Kim; Jaesik Lee; Chulung Lee,"This study aims to determine the influential factors on the market share of electric vehicles through panel data analysis based on time series data from 2011 to 2015 in 31 countries. We selected five significant independent variables that are expected to affect electric vehicle adoption based on literature review. The econometric model in this study suggests that the relative price of electric vehicle compared to internal combustion engine vehicle, driving range, and number of models available in markets are correlated to the market share of electric vehicles. On the other hand, relationship between recharging infrastructure—an important factor for electric vehicle adoption in many studies—and market share of electric vehicles turned out to be insignificant in this study. From a political point of view, we argue that policy makers need to allocate more resources to research and development in order to extend driving range at the early stage of electric vehicle deployment in the markets.",9,10,1783,,Business; Market share; Automotive engineering; Econometric model; Order (exchange); Relative price; Variables; Electric vehicle; Driving range; Industrial organization; Panel data,electric vehicle adoption; driving range; eco-innovation; battery performance; panel data analysis; environmental policy,,,National Research Foundation of Korea,https://pubag.nal.usda.gov/catalog/6520445 https://core.ac.uk/display/87648474 https://doaj.org/article/7a819188bd074de78808d7a00f54901f https://www.mdpi.com/2071-1050/9/10/1783/pdf https://www.mdpi.com/2071-1050/9/10/1783 https://ideas.repec.org/a/gam/jsusta/v9y2017i10p1783-d113883.html https://koreauniv.pure.elsevier.com/en/publications/does-driving-range-of-electric-vehicles-influence-electric-vehicl,http://dx.doi.org/10.3390/su9101783,,10.3390/su9101783,2760597552,,0,001-525-056-995-675; 009-163-180-975-917; 009-793-677-552-705; 010-628-463-869-703; 016-281-284-301-862; 017-667-912-281-929; 018-113-957-766-155; 020-704-778-699-256; 021-900-165-579-90X; 022-620-704-725-479; 023-812-533-408-382; 026-786-582-389-280; 029-518-504-023-556; 030-532-028-593-908; 032-874-539-522-063; 034-753-097-906-239; 040-117-023-931-503; 044-814-310-102-440; 044-923-928-642-433; 046-495-177-534-806; 055-737-049-590-665; 065-715-632-881-860; 066-164-818-213-287; 077-438-697-831-664; 083-203-872-846-03X; 088-228-558-694-405; 089-570-955-782-53X; 092-163-899-683-456; 097-129-698-986-082; 099-628-331-049-403; 106-741-752-318-161; 107-576-197-990-492; 118-855-743-324-923; 121-859-812-067-964; 127-396-485-243-755; 151-097-054-357-603; 161-858-228-065-368; 167-375-557-062-231; 181-720-269-788-881,104,true,cc-by,gold
008-790-959-805-782,"Modeling, Simulation & Implementation of Li-ion Battery Powered Electric and Plug-in Hybrid Vehicles",,2011,,,,,,Siva Rama Prasanna Mantravadi,"The modeling, simulation and hardware; implementation of a Li-ion battery powered electric vehicle are; presented in this thesis. The results obtained from simulation and; experiments were analyzed to develop the control algorithm for the; vehicle. An existing electric vehicle was reengineered with a new; Li-ion battery pack and an advanced control strategy. The; implementation platform is a Solectria E-10 electric vehicle which; was originally powered with a Lead acid battery; pack. A simulation model of the Solectria E-10; electric vehicle was first developed for vehicle simulation using; various standard drive cycles. The supervisory control strategy was; first developed and tested in simulation before it was implemented; on actual hardware. A Power Save feature was developed to limit the; vehicle power demand upon the driver request to increase the zero; emissions vehicle range of the electric vehicle. Simulations were; used to demonstrate the effectiveness of Power Save feature and it; was shown that the range of the electric vehicle can be extended.;  The feasibility for plug-in hybrid vehicle; conversion of the developed electric vehicle to extend the range of; the electric vehicle beyond its zero emissions driving range was; studied through simulation. A control algorithm for plug-in hybrid; vehicle was developed and simulated.",,,,,Engineering; Modeling and simulation; Automotive engineering; Electric vehicle; Zero-emissions vehicle; Battery pack; Driving range; Simulation; Lead–acid battery; Hybrid vehicle; Battery (electricity),,,,,https://etd.ohiolink.edu/!etd.send_file?accession=akron1310756846&disposition=inline,https://etd.ohiolink.edu/!etd.send_file?accession=akron1310756846&disposition=inline,,,2603162020,,0,,3,false,,
008-838-211-385-802,Comprehensive Updates on Various Fast Charging Technology for Electric Vehicles,2021-07-02,2021,book chapter,Lecture Notes in Electrical Engineering,18761100; 18761119,Springer Singapore,Germany,Anand Yadav; Shelly Vadhera,"Batteries-powered electric vehicles are gaining popularity worldwide. This trend of the electric vehicle is driven by many parameters, such as the need to reduce air pollution and noise pollution and reliance on fossil fuels. The main disadvantage of a modern electric vehicle is its limited range and the longer time required to charge the electric battery. Significant progress has been made in electric vehicle charging in recent years (thanks to research and development) to decrease the time required to charge electric vehicle batteries. This review paper focuses on the different topologies used for charging the batteries of electric vehicles.",,,199,210,Noise pollution; Automotive engineering; Network topology; Range (aeronautics); Electric vehicle; Fast charging; Computer science; Battery (electricity); Fossil fuel,,,,,https://link.springer.com/chapter/10.1007/978-981-16-1186-5_16,http://dx.doi.org/10.1007/978-981-16-1186-5_16,,10.1007/978-981-16-1186-5_16,3185627781,,0,030-470-110-954-900; 046-850-066-646-817; 060-713-141-287-268; 095-901-372-833-711; 115-239-908-218-494,1,false,,
009-097-408-017-270,Multi-parameter Analysis of Influences of Air Conditioning Systems on Electric Vehicle,,2016,conference proceedings article,"Proceedings of 2016 International Conference on Modeling, Simulation and Optimization Technologies and Applications (MSOTA2016)",,Atlantis Press,,Hao Pan; Liangfei Xu; Jianqiu Li; Minggao Ouyang,"Due to significant impact of energy consumption of air conditioning system on driving range of electric vehicles, study on air conditioning system of electric vehicles is of great importance. However, the research existing is not comprehensive enough, which is limited to the performance and experimental research of the electric air conditioning components. As for influences of air conditioning systems on electric vehicle, model-based multi-parameter analysis is still a lack. In this paper, a thermal and humidity model of electric vehicles is firstly proposed, followed by control strategy of the air conditioning system. Energy consumption analysis of electric vehicles under different driving and ambient conditions is conducted based on simulation results.",,,,,Air conditioning; Automotive engineering; Electric vehicle; Multi parameter; Computer science,electric vehicle; thermal and humidity systems; control strategy; energy consumption analysis,,,,https://www.atlantis-press.com/proceedings/msota-16/25868844,http://dx.doi.org/10.2991/msota-16.2016.50,,10.2991/msota-16.2016.50,2590800401,,0,004-793-211-077-365; 035-812-193-688-917; 062-247-244-268-69X; 065-832-164-485-017; 121-942-309-998-582; 182-549-906-963-259,0,true,cc-by-nc,gold
009-365-528-149-559,Modeling of High Voltage to Low Voltage Crosstalk Coupling Paths in Electric Vehicle Motor Drive Systems,2024-08-16,2024,conference proceedings article,2024 2nd China Power Supply Society Electromagnetic Compatibility Conference (CPEMC),,IEEE,,Binxiang Sun; Li Zhai; Shuangjie Yang; Shuliang Wang; Jianghaoyu Yan; Ange Liu,"A method for modelling the equivalent circuit of the LV and HV coupling path of a motor drive system based on port impedance measurement is proposed. First, the crosstalk coupling mechanism of the HV system to the LV system is analysed. Then, the crosstalk coupling path model is established by measuring the S21 parameters of the HV and LV coupling paths of the cable, the controller, and the motor drive system respectively. The deviation between simulations and experimental measurements is less than 8 dB, which indicates that the established crosstalk path model has a good accuracy. By using the coupling path model to conduct HV and LV crosstalk coupling analysis, it can be seen that reducing the length, spacing, ground clearance, and load impedance of HV and LV cables can effectively reduce HV and LV coupling. Reducing the parasitic capacitance of the HV power circuit of the motor controller to the ground and the inductance of the HV and LV circuits can effectively reduce the internal crosstalk coupling of the controller.",,,158,163,Crosstalk; Voltage; Coupling (piping); Motor drive; Traction motor; Electrical engineering; Electric vehicle; Computer science; Automotive engineering; Engineering; Electronic engineering; Physics; Mechanical engineering; Power (physics); Quantum mechanics,,,,,,http://dx.doi.org/10.1109/cpemc65359.2024.00038,,10.1109/cpemc65359.2024.00038,,,0,015-185-579-439-918; 033-604-119-934-287; 042-039-483-266-008; 091-308-028-912-063,0,false,,
009-381-432-275-438,Heuristics for Electric Vehicle Charging Station Allocation Problem,,2018,conference proceedings article,2018 5th International Conference on Mathematics and Computers in Sciences and Industry (MCSI),,IEEE,,Ludovica Adacher,"The electric vehicles have been considered in advantage in terms of sustainability as well as emission of pollutants. However, the successful incorporation of electric vehicles in the actual transportation system depends on overcoming of two main barriers: the low range of the electric vehicles in comparison with traditional internal combustion vehicles, and the low number of electric recharging stations. By increasing the number of recharging points it is possible to compensate the range limitations of electric vehicles, nevertheless, creating this infrastructure causes high costs. Therefore, the objective of this study has been to develop an optimization methodology that allows planning of the recharging infrastructure for electric vehicles in an urban environment that minimizes the cost, based on provider's point of view.",,,72,76,Facility location problem; Heuristics; Discount points; Automotive engineering; Range (aeronautics); Electric vehicle; Cost reduction; Charging station; Computer science; Resource management,,,,,https://www.computer.org/csdl/proceedings-article/mcsi/2018/750000a072/1bXcT8IYxMY,http://dx.doi.org/10.1109/mcsi.2018.00024,,10.1109/mcsi.2018.00024,2966459400,,0,004-422-318-967-55X; 028-763-135-668-756; 035-894-239-133-397; 053-290-418-689-097; 053-958-738-820-944; 061-541-204-033-280; 063-301-582-633-224; 067-651-443-284-955; 074-107-253-677-234; 079-999-434-361-675; 088-372-838-515-084; 098-378-547-358-55X; 098-708-913-839-038; 101-873-349-921-465; 120-194-726-553-237; 124-062-540-351-523; 129-301-688-228-561; 130-309-329-945-640; 133-771-166-577-001,5,false,,
009-491-828-627-53X,Solving environmental and energy issues  in megalopolises through the use of electric  vehicles,2024-12-30,2024,journal article,Trudy NAMI,01353152,FSUE Central Scientific Research Automobile and Automotive Engines Institute (FSUE NAMI),,D. A. Zagarin; A. V. Shabanov,"<jats:p><jats:italic>Introduction (problem statement and relevance).</jats:italic> The paper deals with the area of electric drive application in vehicles in the Russian Federation and analyzes their development trends in the advanced countries witnessing the greatest progress in this area. It provides energy efficiency characteristics of electric vehicles and plug-in hybrids, as well as their sales trends in the advanced European countries. The paper also considers environmental and energy issues of electric vehicle use in Moscow.</jats:p><jats:p><jats:italic>The purpose of the study</jats:italic> is to justify efficiency of use of electric vehicles in Moscow as well as to analyze the electric vehicle development in the advanced European countries.</jats:p><jats:p><jats:italic>Methodology and research methods.</jats:italic> Analysis of information about application of the electric drive in vehicles and comparative computational and experimental evaluation of efficiency of use of electric vehicles relative to traditional vehicles within the UN urban driving cycle.</jats:p><jats:p><jats:italic>Results</jats:italic>. Energy efficiency characteristics of electric vehicles and plug-in hybrids as well as electric vehicle sales trends taking into account the cost of power in different countries were analyzed. The energy efficiency calculation for the use of electric vehicles in Russia showed that in summer the consumed power ratio between the traditional vehicle with a gasoline internal combustion engine and the electric vehicle amounts to 5.2. In winter, this ratio amounts to 2.5. Experimental evaluation of power consumption for operation of the electric vehicle HVAC system was performed. The analysis of electric vehicle development in the advanced European countries has shown that the electric vehicle sales depend on the power cost.</jats:p><jats:p><jats:italic>Practical significance.</jats:italic> The analysis and computational and experimental research performed by the authors have shown that the solution to the issue of strong atmospheric air pollution with hazardous emissions in Moscow will largely depend on the use of electric vehicles with environmentally friendly and energy-efficient powertrains.</jats:p>",,4,16,25,Energy (signal processing); Environmental science; Environmental economics; Environmental planning; Economics; Physics; Quantum mechanics,,,,,,http://dx.doi.org/10.51187/0135-3152-2024-4-16-25,,10.51187/0135-3152-2024-4-16-25,,,0,006-432-310-146-185; 041-239-897-076-669,0,true,cc-by,hybrid
